city,date,no2,o3,pm10,pm25
Berlin,2024-09-04,7.14,107.0,46.8,16.9
Berlin,2024-09-05,12.1,76.5,54.2,20.8
Berlin,2024-09-06,8.87,111.0,41.2,17.9
Berlin,2024-09-07,11.4,91.8,23.2,11.1
Berlin,2024-09-08,13.4,66.4,19.6,13.0
Berlin,2024-09-09,8.47,68.1,11.7,6.82
Berlin,2024-09-10,14.8,52.8,9.67,6.96
Berlin,2024-09-11,20.8,39.5,9.38,5.61
Berlin,2024-09-12,14.7,42.8,9.38,5.03
Berlin,2024-09-13,8.8,72.0,11.1,4.66
Berlin,2024-09-14,6.92,60.5,7.22,4.12
Berlin,2024-09-15,7.37,45.1,17.5,11.4
Berlin,2024-09-16,5.5,60.4,37.4,25.8
Berlin,2024-09-17,10.1,68.1,45.7,31.0
Berlin,2024-09-18,10.1,64.3,33.7,20.7
Berlin,2024-09-19,11.7,77.6,36.9,17.8
Berlin,2024-09-20,9.07,85.1,32.2,17.5
Berlin,2024-09-21,10.1,80.8,31.9,20.1
Berlin,2024-09-22,25.3,48.7,34.0,17.7
Berlin,2024-09-23,20.4,40.9,22.2,14.9
Berlin,2024-09-24,13.1,50.3,10.4,7.29
Berlin,2024-09-25,11.7,49.6,8.58,5.52
Berlin,2024-09-26,7.05,68.8,8.49,4.35
Berlin,2024-09-27,10.3,65.6,8.15,4.53
Berlin,2024-09-28,11.1,51.0,9.2,5.75
Berlin,2024-09-29,9.24,56.4,9.47,5.71
Berlin,2024-09-30,13.1,35.1,13.5,10.4
Berlin,2024-10-01,15.2,27.8,16.2,12.4
Berlin,2024-10-02,9.14,43.0,7.4,5.08
Berlin,2024-10-03,9.3,48.7,7.16,4.59
Berlin,2024-10-04,11.4,37.1,9.99,6.89
Berlin,2024-10-05,11.0,33.5,14.4,11.1
Berlin,2024-10-06,15.9,20.7,17.3,13.2
Berlin,2024-10-07,25.1,8.77,17.7,13.3
Berlin,2024-10-08,13.1,45.7,10.2,5.84
Berlin,2024-10-09,9.39,53.5,8.7,5.18
Berlin,2024-10-10,22.1,39.3,14.0,9.22
Berlin,2024-10-11,16.8,38.4,12.4,8.4
Berlin,2024-10-12,5.17,56.0,7.91,5.19
Berlin,2024-10-13,23.2,35.7,12.8,8.12
Berlin,2024-10-14,18.9,42.8,12.2,6.8
Berlin,2024-10-15,10.8,52.8,14.8,9.93
Berlin,2024-10-16,16.8,42.5,18.0,11.6
Berlin,2024-10-17,16.7,36.3,24.3,15.5
Berlin,2024-10-18,17.4,34.6,22.5,15.4
Berlin,2024-10-19,18.0,32.8,24.5,17.3
Berlin,2024-10-20,15.0,22.0,19.5,13.5
Berlin,2024-10-21,20.7,9.6,23.6,16.1
Berlin,2024-10-22,26.9,23.1,21.4,13.8
Berlin,2024-10-23,17.8,26.6,21.5,15.1
Berlin,2024-10-24,23.0,19.8,29.2,21.4
Berlin,2024-10-25,24.6,12.0,34.9,27.5
Berlin,2024-10-26,16.2,15.2,27.0,21.8
Berlin,2024-10-27,21.4,10.1,21.6,16.2
Berlin,2024-10-28,17.3,28.2,18.1,13.3
Berlin,2024-10-29,13.6,25.5,14.6,10.6
Berlin,2024-10-30,12.0,42.6,11.5,7.78
Berlin,2024-10-31,13.5,27.6,25.9,21.0
Berlin,2024-11-01,17.1,45.7,16.4,10.7
Berlin,2024-11-02,26.1,26.7,23.3,18.1
Berlin,2024-11-03,21.3,22.6,17.3,13.4
Berlin,2024-11-04,21.2,13.9,25.0,20.1
Berlin,2024-11-05,20.1,4.19,25.7,20.3
Berlin,2024-11-06,16.7,12.8,10.6,8.22
Berlin,2024-11-07,11.5,27.8,19.5,16.3
Berlin,2024-11-08,10.7,27.1,35.4,31.6
Berlin,2024-11-09,23.8,7.49,32.2,27.7
Berlin,2024-11-10,17.1,2.85,28.1,23.2
Berlin,2024-11-11,15.8,6.73,22.2,18.7
Berlin,2024-11-12,25.7,9.28,19.4,14.8
Berlin,2024-11-13,20.5,21.9,14.2,10.7
Berlin,2024-11-14,20.1,31.0,22.3,13.7
Berlin,2024-11-16,6.48,42.0,13.7,11.2
Berlin,2024-11-17,12.3,50.5,8.41,5.25
Berlin,2024-11-18,18.4,27.3,9.94,7.57
Berlin,2024-11-19,12.6,48.1,9.72,7.88
Berlin,2024-11-20,14.6,41.7,11.0,8.58
Berlin,2024-11-21,15.1,34.9,13.4,10.7
Berlin,2024-11-22,13.0,40.4,11.5,9.01
Berlin,2024-11-23,12.0,43.0,10.2,7.17
Berlin,2024-11-24,22.5,27.7,17.2,10.2
Berlin,2024-11-25,23.7,29.8,17.1,12.1
Berlin,2024-11-26,20.0,23.1,14.6,10.8
Berlin,2024-11-27,8.61,47.5,5.74,4.08
Berlin,2024-11-28,13.9,35.7,8.79,6.54
Berlin,2024-11-29,16.7,27.0,13.9,11.6
Berlin,2024-11-30,19.8,11.1,21.2,18.7
Berlin,2024-12-01,20.1,13.7,18.4,15.5
Berlin,2024-12-02,19.4,19.8,16.9,13.7
Berlin,2024-12-03,12.6,34.6,12.2,9.05
Berlin,2024-12-04,17.6,32.0,14.9,12.0
Berlin,2024-12-05,26.4,25.1,14.0,11.4
Berlin,2024-12-06,14.7,30.9,11.3,8.63
Berlin,2024-12-07,11.9,26.3,19.7,17.1
Berlin,2024-12-08,10.2,14.6,13.3,11.2
Berlin,2024-12-09,9.17,25.9,19.1,15.9
Berlin,2024-12-10,13.4,36.8,15.2,12.4
Berlin,2024-12-11,21.6,28.4,21.7,17.2
Berlin,2024-12-12,15.2,31.0,17.7,14.8
Berlin,2024-12-13,15.9,17.9,24.1,21.2
Berlin,2024-12-14,10.4,41.1,12.2,10.1
Berlin,2024-12-15,9.19,45.3,6.2,4.5
Berlin,2024-12-16,11.9,49.8,12.3,8.85
Berlin,2024-12-17,14.4,39.6,11.9,8.7
Berlin,2024-12-18,8.59,54.8,7.41,5.09
Berlin,2024-12-19,10.2,59.5,12.1,7.8
Berlin,2024-12-20,11.1,41.5,11.2,8.73
Berlin,2024-12-21,8.78,49.3,8.66,6.45
Berlin,2024-12-22,11.2,51.6,10.9,7.85
Berlin,2024-12-23,16.5,35.1,12.5,9.25
Berlin,2024-12-24,17.3,21.0,21.2,17.2
Berlin,2024-12-25,15.2,13.2,16.2,13.2
Berlin,2024-12-26,19.4,8.94,14.2,10.3
Berlin,2024-12-27,20.1,1.82,24.2,18.5
Berlin,2024-12-28,23.6,3.94,24.7,21.2
Berlin,2024-12-29,15.6,19.7,18.3,16.1
Berlin,2024-12-30,14.9,21.6,24.0,21.0
Berlin,2024-12-31,8.26,47.5,20.6,16.9
Berlin,2025-01-01,11.1,55.9,10.5,6.98
Berlin,2025-01-02,10.3,60.7,7.9,5.49
Berlin,2025-01-03,14.7,50.2,13.9,11.1
Berlin,2025-01-04,21.7,31.4,17.5,15.2
Berlin,2025-01-05,18.1,36.6,11.2,8.61
